"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1130","E2E сценарий","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.End2EndTest","Smoke","tests.End2EndTest","endToEnd"
"","1061","Заполнение Checkout формы с позитивными данными","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWithPositiveCred"
"","1","checkCartTwo","SauceDemo suite","2026-06-10","unknown","2026-06-10","tests.CartTest","Smoke","tests.CartTest","checkCartTwo"
"","494","Проверка логина с негативным логином и паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","chekLoginWithNegativeCred"
"","965","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","1015","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","1079","Проверка кнопки Finish","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFinishButton"
"","1045","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","986","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"","1018","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"","1028","Проверка логина с параметризированными негативными кредами","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","checkFillOutWitEmptyCred"
"Проверка логина с позитивным логином и паролем","1374","Проверка логина с позитивным логином и паролем","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Smoke","tests.LoginTest","checkLoginWithPositiveCred"
"","999","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
"В корзине сохраняются выбранные товары","844","В корзине сохраняются выбранные товары","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CartTest","Smoke","tests.CartTest","checkCart"
"","999","Заполнение Checkout формы с пустыми данными","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutTest","Smoke","tests.CheckoutTest","checkFillOutWitEmptyCred"
